organisations_id,roles_id
te-puni-kokiri,minister-for-maori-development
te-puni-kokiri,chief-executive-te-puni-kokiri
te-taura-whiri-i-te-reo-maori-maori-language-comm,minister-for-maori-development
te-taura-whiri-i-te-reo-maori-maori-language-comm,chief-executive
te-taura-whiri-i-te-reo-maori-maori-language-comm,chairperson
te-tumu-paeroa,minister-for-maori-development
te-tumu-paeroa,maori-trustee-and-chief-executive
te-wananga-o-aotearoa,te-taiurungi-chief-executive
te-wananga-o-aotearoa,chairperson
te-wananga-o-raukawa,tumuaki
te-wananga-o-raukawa,chairperson
te-whare-wananga-o-awanuiarangi,chair
te-whare-wananga-o-awanuiarangi,chief-executive
teaching-council-of-aotearoa-new-zealand,minister-of-education
teaching-council-of-aotearoa-new-zealand,
teaching-council-of-aotearoa-new-zealand,chair
teaching-council-of-aotearoa-new-zealand,chief-executive
telarc-limited,chief-executive
telarc-limited,chairperson
television-new-zealand-limited,minister-for-media-and-communications
television-new-zealand-limited,parliamentary-under-secretary-to-the-minister-for-media-and-communications
television-new-zealand-limited,chief-executive
television-new-zealand-limited,chairperson
telford-rural-polytechnic,director
tertiary-education-commission,minister-of-education
tertiary-education-commission,minister-for-vocational-education
tertiary-education-commission,chief-executive
tertiary-education-commission,chairperson
thames-coromandel-district-council,chief-executive
thames-coromandel-district-council,mayor
the-office-for-maori-crown-relations-te-arawhiti,minister-for-treaty-of-waitangi-negotiations
the-office-for-maori-crown-relations-te-arawhiti,minister-for-maori-crown-relations-te-arawhiti
the-office-for-maori-crown-relations-te-arawhiti,chief-executive
the-treasury,minister-of-finance
the-treasury,minister-of-revenue
